id,q,est
1,0.05,6.120297
2,0.1,6.386879
3,0.15,6.461468
4,0.2,6.533789
5,0.25,6.579251
6,0.3,6.637258
7,0.35,6.689599
8,0.4,6.745236
9,0.45,6.802395
10,0.5,6.848005
11,0.55,6.907755
12,0.6,6.964136
13,0.65,7.032624
14,0.7,7.097549
15,0.75,7.17012
16,0.8,7.273787
17,0.85,7.379632
18,0.9,7.518064
19,0.95,7.758334
