id,q,est
1,0.05,6.253829
2,0.1,6.458338
3,0.15,6.55108
4,0.2,6.629363
5,0.25,6.684612
6,0.3,6.756932
7,0.35,6.817831
8,0.4,6.885509
9,0.45,6.945051
10,0.5,7.004882
11,0.55,7.077498
12,0.6,7.136086
13,0.65,7.210818
14,0.7,7.294377
15,0.75,7.361375
16,0.8,7.452403
17,0.85,7.562848
18,0.9,7.711549
19,0.95,7.962416
