,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
1,6.856462,5.953243,6.867974,6.44572,6.55108,6.768493,6.72022,6.827629,6.731018,6.54103,6.712446,6.642487,6.214608,5.988961,6.040255,6.278522,6.39693,6.33328,6.410175,6.39693,6.514713,6.565265,6.242223,6.476973,6.495265,6.39693,6.224558,6.359574,6.652863
2,7.202661,6.580639,7.048387,6.617403,6.698268,6.943122,6.93537,7.001245,6.996682,6.788972,6.861712,6.767343,6.591674,6.253829,6.345636,6.476973,6.472346,6.476973,6.562444,6.55108,6.620073,6.706862,6.411819,6.60123,6.635947,6.476973,6.461468,6.39693,6.813445
3,7.340836,6.834109,7.20786,6.705639,6.902743,7.061334,7.056175,7.090827,7.127694,6.968851,6.959399,6.923629,6.721426,6.577861,6.597146,6.620073,6.555357,6.651572,6.628041,6.633318,6.692084,6.774224,6.516193,6.694562,6.744059,6.55108,6.546785,6.481577,6.856462
4,7.515889,6.936343,7.375882,6.802395,7.013016,7.187657,7.150702,7.178545,7.214504,7.111512,7.130899,7.050123,6.856462,6.802395,6.864848,6.684612,6.685861,6.746412,6.700731,6.715384,6.802395,6.830874,6.575076,6.809039,6.824374,6.620073,6.64639,6.498282,6.947409
5,7.69257,6.993015,7.465655,6.850126,7.130899,7.28756,7.30586,7.244227,7.313887,7.212295,7.197046,7.149132,6.950815,6.887553,7.003974,6.759255,6.76273,6.856462,6.784457,6.816736,6.912693,6.926577,6.64639,6.914731,6.928538,6.672033,6.709304,6.559615,7.003066
6,7.857868,7.048387,7.586296,6.946976,7.207119,7.385851,7.421776,7.303843,7.396335,7.280008,7.313221,7.262629,7.090077,7.01661,7.128496,6.830874,6.802395,6.975414,6.850126,6.907755,6.96979,7.003066,6.712956,7.090077,7.075809,6.745236,6.802395,6.684612,7.068172
7,8.025189,7.078341,7.717796,7.090077,7.313221,7.495542,7.553811,7.327123,7.515345,7.349231,7.434258,7.337588,7.234177,7.097549,7.257003,6.907755,6.903747,7.115582,6.924613,7.023759,7.031741,7.080027,6.818924,7.238497,7.17012,6.810143,6.913737,6.72022,7.128496
8,8.312871,7.271008,7.873217,7.234177,7.509335,7.633369,7.727535,7.366445,7.722496,7.524022,7.5224,7.583248,7.409742,7.244227,7.437795,6.966854,6.996682,7.276556,7.003066,7.244227,7.130899,7.17549,6.955593,7.427739,7.279319,6.923629,7.17012,6.863803,7.241366
9,8.679822,7.536785,8.073092,7.418181,7.65302,7.909615,7.948834,7.495542,7.982491,7.73718,7.843456,7.834788,7.662468,7.441907,7.642524,7.145985,7.053586,7.467942,7.175207,7.531552,7.273495,7.336286,7.141245,7.660981,7.477038,7.086738,7.421776,6.956545,7.608375
