density1,density2
6.253829,.15601079
6.458777,.43094212
6.5510802,.58347905
6.6306834,.7054106
6.6846118,.75958878
6.7569323,.7887361
6.8194704,.79347819
6.885653,.79390359
6.9461875,.7871092
7.0061607,.78156304
7.0783415,.75232661
7.1369047,.71813691
7.2119107,.68597788
7.2966437,.65673214
7.3626518,.61997205
7.4535446,.51554525
7.5631433,.40036812
7.711822,.28869432
7.9629726,.1434705
