density_pts,density_ht
5.817111,.14976957
6.0354815,.3603456
6.1420374,.59512419
6.2146082,.77623588
6.2728772,.89191395
6.3225651,.93973303
6.3801227,.92879701
6.4216223,.94233906
6.4769726,.91775793
6.5510802,.91429871
6.5930448,.91585505
6.6437898,.86030656
6.6920838,.80360329
6.7810578,.70718384
6.856462,.66595554
6.9077554,.6359632
7.0048819,.51387894
7.130899,.3364926
7.3330231,.17827737
