IDENT_PSN,FAMNO_PSN,IUNO_PSN,PERSON_NUMBER,PERS_WT
00563977,1,01,02,01981213
00568178,1,01,01,04808657
00570059,1,01,01,04507740
00570059,1,01,02,04821811
00580491,1,01,01,04909100
00581799,1,01,01,02943109
00581799,1,01,02,03319047
00581799,2,01,01,03052142
00583079,1,01,01,02081568
00583079,1,01,02,02146181
00600951,1,01,01,03964642
00600951,2,01,01,03455328
00600951,3,01,01,02836842
00613958,1,01,01,05512420
00613958,1,01,02,04572476
00614468,1,01,01,06349250
00614468,1,02,01,05484814
00615147,1,01,01,01515384
00620174,1,01,01,04571681
00622414,1,01,01,04343740
00622414,1,01,02,04246231
00638468,1,01,01,01981213
00640536,1,01,01,04946889
00640536,1,01,02,04909100
00640536,1,02,01,04872377
00641131,1,01,01,05105000
00641131,1,01,02,05307851
00641131,1,02,01,04343740
00642794,1,01,01,03544608
00642794,1,01,02,03962285
00642794,1,02,01,04289393
00645387,1,01,01,02241801
00659273,1,01,01,04471855
00659273,1,01,02,05141764
00675662,1,01,01,02113981
00679564,1,01,01,01783611
00679564,2,01,01,01243750
00696377,1,01,01,02356363
00696377,1,01,02,02547241
00701442,1,01,01,03403750
00701442,1,01,02,02836551
00701823,1,01,01,04246231
00704286,1,01,01,02064038
00712751,1,01,01,01202051
00712751,1,01,02,01280212
00718587,1,01,01,05665040
00718587,1,01,02,04808657
00735535,1,01,01,03719245
00735535,1,02,01,03160666
00735535,1,03,01,03848529
00736466,1,01,01,01326037
00736466,1,01,02,02961666
00737941,1,01,01,02340350
00737941,1,01,02,02213648
00752427,1,01,01,02370576
00752427,1,01,02,02316730
00763500,1,01,01,04091265
00763500,1,01,02,04823896
00763500,1,01,03,04164615
00763660,1,01,01,02127564
00763660,1,01,02,01945555
00763660,1,02,01,02035683
00763660,1,03,01,02121176
00763660,2,01,01,02183750
00779766,1,01,01,03728220
00780187,1,01,01,02081568
00806662,1,01,01,05162716
00806662,1,01,02,04927356
00806893,1,01,01,02035683
00806893,2,01,01,01991494
00836709,1,01,01,02319629
00836709,1,01,02,02207361
00838727,1,01,01,04649500
00838727,1,01,02,04244698
00838727,1,02,01,04782142
00838727,1,03,01,03480666
00838727,1,04,01,04652363
00841011,1,01,01,04694918
00841011,1,01,02,03052142
00843443,1,01,01,01516333
00843443,1,01,02,01553125
00849545,1,01,01,03431184
00849545,1,01,02,03091162
00849632,1,01,01,03326530
00849961,1,01,01,04437675
00849961,1,01,02,04294392
00849961,1,01,03,05774090
00850713,1,01,01,04513730
00855230,1,01,01,01174347
00855230,2,01,01,01524242
00873219,1,01,01,01603636
00873219,1,01,02,02393750
00876963,1,01,01,02064038
00876963,1,01,02,02107536
00879293,1,01,01,01326037
00879293,1,01,02,01681777
00879402,1,01,01,02943109
00879402,1,01,02,03319047
00891123,1,01,01,02300000
00891123,1,01,02,02369708
00891123,1,02,01,02157000
00891312,1,01,01,01583571
00896237,1,01,01,04670722
00896237,1,01,02,04823896
00896237,1,01,03,04565000
00896237,1,02,01,04852222
00908901,1,01,01,04647927
00908901,1,01,02,04280127
00955393,1,01,01,02509642
00961628,1,01,01,04437675
00975529,1,01,01,03172959
00975529,1,01,02,03243406
00975529,1,02,01,04020000
00975555,1,01,01,07081600
00975555,2,01,01,04928611
00976289,1,01,01,02547241
00978563,1,01,01,02157000
00982055,1,01,01,01783611
00982055,1,01,02,01482765
00988337,1,01,01,02081568
00988337,1,01,02,02146181
00990761,1,01,01,03255428
00996023,1,01,01,02274054
00996023,1,02,01,02460000
00996023,1,03,01,01525090
01006372,1,01,01,02572424
01006372,1,01,02,03236712
01011988,1,01,01,02107536
01021661,1,01,01,04823896
