ONET,ANZSCO
51-6011.00,8115
37-2011.00,8116
47-3015.00,8211
47-3019.00,8212
47-4031.00,8213
47-2131.00,8214
47-3011.00,8215
47-4061.00,8216
47-2221.00,8217
47-3019.00,8219
51-3099.00,8311
51-3023.00,8312
51-3022.00,8313
53-7064.00,8321
51-2099.00,8322
51-4051.00,8391
51-8091.00,8392
51-1011.00,8393
51-7042.00,8394
51-8099.00,8399
45-2093.00,8411
45-2092.02,8412
45-4011.00,8413
45-2092.01,8414
45-2093.00,8415
45-2099.00,8416
45-2099.00,8419
35-2015.00,8511
35-2021.00,8512
35-9021.00,8513
53-7062.00,8911
53-7062.00,8912
49-9071.00,8991
45-3011.00,8992
49-9071.00,8993
49-9043.00,8994
51-5113.00,8995
51-9199.01,8996
49-9091.00,8997
53-7062.00,8999
