.05,-2.194069,-.0500706,-.0157093,-.0305425,-.0383108,-.0750199,-.0338754,-.072168,.1258564,-.2488012,.0778168,-.0029855,.0776607,.1834869,-.0135698,-.024653,.034662,-.0733557,39.29534
.1,-1.957503,-.1125533,.0134644,-.0296945,-.0406079,-.0284166,-.0162897,-.145401,.07658,-.0732114,.0801846,.0428235,.0584654,.1069283,-.0097456,-.0136681,.0211757,-.026707,22.21164
.15,-1.250865,-.1370244,.0043966,-.0302303,-.0309361,-.0374674,-.0139992,-.1419498,.0612154,-.0836947,.0737637,.0648488,.0636305,.0931199,-.0143878,-.0256216,.0098916,-.010478,14.80625
.2,-.9407993,-.1699701,.0088682,-.0209651,-.0140863,-.0171503,-.0182544,-.1917138,.0592315,-.0930981,.1063865,.1101984,.0944893,.1080495,-.0229518,-.0032028,.011558,-.0379441,12.68754
.25,-.7157256,-.1674719,.0107214,-.024614,-.0217603,-.0180294,-.0232858,-.2119229,.0475981,-.0515561,.1292139,.1283974,.1126695,.1189487,-.0282675,-.0086393,.0110566,-.0326386,11.36921
.3,-.601797,-.1778506,-.0011343,-.0314101,-.0211999,-.0232295,-.0389379,-.2113272,.0394811,-.0118019,.1282987,.1355592,.1218173,.1104104,-.0262342,-.0123,.0109601,-.0123393,10.6649
.35,-.5298767,-.1918022,-.0136563,-.0284844,-.0242882,-.0338913,-.0505932,-.21916,.0399244,.0029238,.1357985,.1575641,.1400409,.1022691,-.0258144,-.0066497,.0166718,.001875,10.39317
.4,-.4758943,-.2227288,-.033924,-.0375144,-.0367195,-.0496748,-.0764552,-.2305831,.0477681,.0447238,.1451584,.2069842,.1934338,.0949162,-.0239377,.0014018,.0153078,.0193288,10.40111
.45,-.4330021,-.2294391,-.0398006,-.0310796,-.0397873,-.0618239,-.091021,-.2455406,.0540496,-.0019183,.1532373,.2313544,.2382112,.0828971,-.0110398,.0142415,.0109948,.0449628,10.5223
.5,-.3894918,-.2236247,-.0564233,-.0299282,-.0341798,-.0623135,-.0981923,-.2495098,.0583406,.0069341,.1619941,.2617141,.2774124,.0780186,-.0146863,.0161121,.0082549,.0564717,10.71478
.55,-.3567104,-.2305019,-.0768594,-.0297261,-.0276632,-.0781621,-.1196379,-.2438738,.0636998,-.0757824,.149393,.286283,.3162676,.065773,-.0066506,.0218274,.0004919,.0680998,10.85592
.6,-.3253299,-.2413232,-.091567,-.015042,-.0216331,-.0655397,-.1230558,-.2359434,.0734024,-.0691692,.1425173,.3074079,.3657005,.0480407,-.0082603,.0278256,-.0102445,.080536,11.17403
.65,-.3000614,-.2647601,-.0970513,.0096615,.0050631,-.0353068,-.1074805,-.2574324,.0810118,-.0783041,.1354755,.3474616,.4573154,.0486602,-.0103477,.0297408,-.0169015,.0965985,12.11774
.7,-.2548918,-.242097,-.1039866,.0398675,.0325851,-.0049526,-.0882565,-.2594135,.0872608,-.0611052,.1313758,.3925942,.5595945,.0469236,-.013587,.014089,-.027574,.1100564,12.8839
.75,-.2315324,-.2299209,-.1373708,.029646,.0419969,.0038388,-.0686929,-.2500716,.0789487,-.0911883,.1061839,.3936287,.6950901,.0232868,.0010028,.0002615,-.0446622,.1405913,13.69092
.8,-.1872294,-.189141,-.1416833,.0618957,.076668,.0418009,-.0195661,-.2437003,.0687272,-.0936981,.0678731,.4211179,.854749,.002004,.0424365,.000943,-.0665395,.1729272,14.89108
.85,-.1361564,-.1485312,-.1422307,.1062839,.1328498,.1240247,.041506,-.249285,.0786423,-.0468407,.0729956,.4471466,1.219565,-.0430254,.0877739,-.0022074,-.0991891,.2559215,18.73267
.9,-.1027153,-.123156,-.1401617,.1196412,.1844574,.2068049,.1547782,-.2556057,.0868722,.0034499,.0657413,.3568588,1.373641,-.1010955,.1622186,.0006245,-.1581769,.3955801,27.80013
.95,-.5931244,-.5216527,-.6504552,.3252099,.4737088,.26073,.2703234,-.3983046,.2470573,-.3503086,.0210955,-.4447664,2.027533,-.9218735,.8593256,.235028,-.8052056,1.921731,153.2062
