,,,,,,,,,,,,,,,,,,
.007951,.00301,.0021699,.0019164,.0021044,.0021313,.0020447,.0014665,.001243,.0028525,.0033466,.0014022,.0030336,.0015547,.0014153,.0011542,.0010582,.0011273,.0096224
.001626,.0007814,.0006618,.0006166,.0007143,.0007183,.000684,.0003832,.0003118,.0006422,.0007373,.0004048,.0008549,.0003032,.0003865,.0002528,.0001931,.0002586,.0024289
.0010591,.0006288,.0004975,.0005073,.0005694,.0005511,.0005691,.0002675,.0002427,.0004718,.0005031,.0003082,.0006038,.0001982,.0002793,.0001732,.0001306,.0001768,.0017134
.0008421,.0005797,.0004705,.0005133,.0005417,.0005291,.0005383,.0002235,.0002235,.0004038,.0004241,.0002794,.0005949,.0001633,.0002409,.0001506,.0001126,.0001617,.0014649
.0007472,.0005614,.0004728,.0004947,.000526,.0005008,.0005141,.0002066,.0002117,.0003659,.0004052,.0002759,.0005873,.0001523,.0002259,.0001443,.0001054,.0001545,.0013597
.0007434,.000614,.0005341,.0005476,.0005636,.000577,.0005672,.0002077,.0002197,.0003787,.0004073,.0003019,.0005922,.0001644,.0002436,.0001559,.0001138,.0001668,.0014125
.0007143,.0006311,.0005678,.0005836,.0005887,.0006134,.0005869,.0002107,.000222,.0003796,.0004106,.0003114,.0005983,.0001678,.000251,.0001619,.0001177,.0001718,.0014669
.0007167,.0006726,.0006161,.0006296,.0006253,.0006472,.0006272,.0002172,.0002268,.0003719,.0004081,.0003288,.0006948,.0001679,.0002552,.0001689,.0001225,.0001747,.0015333
.0006982,.0007101,.0006518,.000677,.0006622,.0006798,.0006439,.0002237,.000232,.0003678,.0004025,.0003472,.0007829,.000172,.0002657,.0001821,.0001292,.0001787,.0016158
.0006967,.0007339,.0006886,.0007158,.0006897,.0007149,.0006598,.0002254,.0002317,.0003559,.0003903,.0003657,.0008737,.0001746,.0002703,.0001896,.0001366,.0001803,.0016637
.000735,.0007881,.0007562,.0008022,.0007485,.000778,.0007107,.0002378,.0002462,.000367,.0004046,.0004111,.0009678,.0001887,.0002898,.0002079,.0001516,.0001932,.0018109
.0007661,.000842,.000836,.0009024,.0008446,.000869,.0007874,.0002564,.0002545,.0003778,.0004166,.0004579,.0011269,.0001997,.000314,.0002284,.0001655,.0002071,.0019591
.0007704,.0008622,.0008965,.0009501,.0008734,.0009302,.0008342,.0002703,.0002602,.000375,.0004119,.0004946,.0012452,.0002064,.0003243,.0002389,.0001746,.0002175,.002088
.000778,.0008889,.0009433,.0010128,.0009341,.0010056,.0008909,.0002753,.0002627,.000365,.0004144,.0005196,.0013978,.0002119,.0003317,.0002464,.00018,.0002293,.0022078
.0008027,.0009246,.0009991,.0010968,.0010246,.0010669,.0009386,.0002829,.0002671,.0003568,.0004233,.0005467,.0015866,.0002176,.0003291,.0002543,.0001851,.0002503,.0022932
.0009737,.0011283,.0012788,.0013984,.0013451,.0014043,.0011928,.0003533,.0003292,.0004382,.000495,.0007153,.0022014,.0002725,.0003988,.0003218,.0002386,.0003326,.0029003
.0012755,.0014883,.001848,.0020064,.0019756,.0020219,.0016753,.0004682,.000421,.0005449,.0006415,.0009882,.0033686,.0003805,.0005063,.0004408,.0003289,.0004819,.0037487
.0017599,.0019435,.0024533,.0028624,.0028246,.0030356,.0024746,.0006476,.0005378,.0006738,.0008207,.0014615,.0053328,.0005544,.000634,.0006442,.0004673,.0007263,.0052075
.0038912,.0042277,.0049464,.0064816,.0067367,.0074301,.0056669,.0014544,.0010441,.0012005,.0016424,.0033655,.0126944,.0012915,.0013206,.001468,.0010477,.0019096,.0110459
