quantile,expdum1,expdum2,expdum3,expdum4,expdum5,expdum6,expdum7,expdum8,expdum9,educ1,educ2,educ3,educ4,educ5,female,married,inform,routine,face,site,decision,_cons
0.05,-3.197178,-0.4149131,-0.0886836,0,0.0797137,-0.0146486,-0.0233693,0.0767379,0.0759338,-0.1647046,-0.1544704,0,0.0024864,-0.0495961,-0.0662145,0.0886699,0.055872,0.074855,0.0136085,-0.0993948,0.0111314,46.13351
0.1,-1.43214,-0.2710551,-0.0223913,0,0.0499283,0.0050773,0.005024,0.042539,0.0296106,-0.0831138,-0.0574079,0,0.0325357,-0.0063327,-0.1319756,0.0433181,0.0890996,0.03704,0.0254388,-0.021156,0.0200605,21.20173
0.15,-1.044396,-0.2619621,-0.0484686,0,0.0420514,-0.0088803,-0.0059808,0.0344379,0.027699,-0.0940125,-0.0422927,0,0.0262791,-0.0039324,-0.1442759,0.0430827,0.1007719,0.0195781,0.0284125,-0.0067501,0.0297151,17.5143
0.2,-0.8419478,-0.271993,-0.0457339,0,0.0322999,-0.0267062,-0.0062715,0.0214329,0.0229413,-0.1255057,-0.0311541,0,0.058615,0.0053489,-0.1584085,0.0597523,0.1028773,-0.0047851,0.0278236,0.0325637,0.0505034,15.69445
0.25,-0.6890901,-0.2511433,-0.0250015,0,0.0608859,-0.0054975,0.0135802,0.0449387,0.0552854,-0.1044846,-0.0389196,0,0.0729968,0.0209959,-0.1748603,0.0711344,0.127866,-0.0227346,0.0308932,0.052473,0.0598274,15.04158
0.3,-0.6324103,-0.2775599,-0.0782746,0,0.0440878,0.0005687,0.0068344,0.0319478,0.0360615,-0.1288159,-0.0483496,0,0.0627162,0.0269802,-0.1814697,0.0565623,0.1523353,-0.0331867,0.037633,0.0675984,0.0645451,14.83754
0.35,-0.584786,-0.3002892,-0.0781106,0,0.0615461,0.0143922,0.0032292,0.0390098,0.02832,-0.1438915,-0.0642859,0,0.0768347,0.0512626,-0.1860612,0.0609597,0.1603074,-0.0497833,0.0366933,0.0935228,0.0834429,14.84239
0.4,-0.5160832,-0.3294898,-0.0844507,0,0.0472099,0.011498,0.0120781,0.0738497,0.0004975,-0.1621043,-0.0599679,0,0.1238261,0.0777339,-0.2084541,0.0629348,0.1570185,-0.0575163,0.0377895,0.1062481,0.0845855,14.92209
0.45,-0.455284,-0.3346925,-0.1078028,0,0.0579506,0.0230737,0.0276105,0.0826178,0.016295,-0.1601492,-0.06165,0,0.1309691,0.1169451,-0.2227853,0.0747059,0.1612217,-0.0522026,0.0387033,0.103439,0.0958218,15.04067
0.5,-0.3859046,-0.3235602,-0.1339302,0,0.0703601,0.0495312,0.049542,0.0816398,0.0320147,-0.1558823,-0.0501879,0,0.1522027,0.1429248,-0.2265271,0.0789398,0.1507354,-0.0535077,0.0363571,0.1102809,0.1096284,15.15031
0.55,-0.2889918,-0.2685452,-0.1248817,0,0.113032,0.0901427,0.092628,0.1033383,0.0804669,-0.1728208,-0.0563783,0,0.1817431,0.2018765,-0.2112259,0.0963314,0.135706,-0.0602801,0.0303852,0.1215756,0.1215038,15.5253
0.6,-0.2468747,-0.2682124,-0.1436902,0,0.1194587,0.0946371,0.1062754,0.0985762,0.1121269,-0.1723961,-0.0530086,0,0.1936913,0.2516012,-0.2304851,0.0864938,0.1181131,-0.0510819,0.0280598,0.1055738,0.1343422,16.02144
0.65,-0.1592209,-0.2147723,-0.1216636,0,0.159389,0.1327892,0.140463,0.1520264,0.1661173,-0.1651,-0.0461046,0,0.2053743,0.2839774,-0.2316119,0.1001452,0.1058667,-0.0449257,0.0125164,0.0864407,0.1505346,16.52168
0.7,-0.1179452,-0.176914,-0.1139911,0,0.1761559,0.1466729,0.1410042,0.1677855,0.1723018,-0.1561616,-0.0390784,0,0.1880175,0.3306646,-0.2360321,0.0859367,0.0790437,-0.0277288,0.0036596,0.0654327,0.1759507,17.09124
0.75,-0.0752075,-0.1307962,-0.0940381,0,0.1541173,0.1507191,0.1369052,0.1404317,0.1471111,-0.1451104,-0.0373708,0,0.1451717,0.3199262,-0.2568333,0.0950108,0.0681723,0.0002075,-0.0177315,0.0371239,0.2061168,17.78935
0.8,-0.0639083,-0.1215947,-0.0968093,0,0.1499708,0.1630669,0.1530058,0.1522323,0.1433767,-0.1303713,-0.0452219,0,0.1392857,0.3629799,-0.2995093,0.1006619,0.0641075,-0.0011196,-0.0339784,0.0225666,0.2214196,20.13698
0.85,-0.0201241,-0.0937848,-0.0994375,0,0.1701457,0.1793984,0.1781424,0.1858,0.1700032,-0.1418018,-0.0530241,0,0.1317123,0.4042212,-0.32629,0.1109259,0.0546575,0.0009459,-0.0396745,0.0091458,0.2288286,24.10811
0.9,0.084643,0.0038099,-0.0770711,0,0.1863256,0.2455499,0.1851334,0.2733266,0.2507708,-0.1308558,-0.0408506,0,0.1845379,0.4350424,-0.3632398,0.1385999,0.05417,0.0027353,-0.0508312,-0.0318381,0.2334107,31.04004
0.95,0.2217919,0.1255551,0.0147433,0,0.3353673,0.3748839,0.3776531,0.4305866,0.3441518,-0.1149968,-0.0121861,0,0.3319376,0.47808,-0.4195834,0.1262344,0.0278979,0.0166174,-0.0603376,-0.0855544,0.2347654,56.48193
