quantile,expdum1,expdum2,expdum3,expdum5,expdum6,expdum7,expdum8,educ1,educ2,educ4,educ5,female,married,inform,routine,face,site,decision,_cons
0.05,-1.017442,-0.1058017,-0.0202993,-0.0042213,0.0022315,0.0171151,0.0209745,-0.330846,-0.3057218,0.0024807,-0.0396892,-0.0565615,0.1358613,0.0067177,0.1681554,0.0311005,-0.1880601,0.0642876,46.15274
0.1,-0.5450558,-0.046692,-0.0196758,0.0164523,-0.0032538,0.0073472,-0.0102767,-0.1487736,-0.1318046,0.0248845,-0.0048076,-0.1298569,0.0564213,0.0802389,0.05645,0.0321437,-0.0580995,0.0354078,21.24443
0.15,-0.4488329,-0.0687453,-0.0050304,0.0063939,-0.0090791,0.0046049,-0.0283479,-0.1384943,-0.0927677,0.0250924,0.0057653,-0.1444947,0.0531858,0.1020729,0.0155423,0.0308593,-0.0311721,0.0309372,17.55817
0.2,-0.4043287,-0.0653471,0.0017365,-0.0029183,-0.0096197,0.0086125,-0.0303669,-0.1655633,-0.0765798,0.0549907,0.0160813,-0.1584371,0.066288,0.1099572,0.0025505,0.0299917,0.0066715,0.0593699,15.71868
0.25,-0.3818951,-0.0888268,-0.0182194,-0.0156678,-0.0307592,0.006657,-0.0334637,-0.1379626,-0.0799462,0.0709437,0.0351814,-0.1713705,0.0760527,0.1348099,-0.0274077,0.0245313,0.0267053,0.0675884,15.11183
0.3,-0.3858333,-0.1075308,-0.0195159,-0.0042529,-0.0215392,0.0052405,-0.0456728,-0.1526453,-0.0864223,0.0657144,0.0491662,-0.1786265,0.0602837,0.1600664,-0.0430966,0.0272776,0.0444007,0.0744885,14.89668
0.35,-0.4126056,-0.1339397,-0.0423987,-0.0136265,-0.0415082,-0.0182912,-0.0757551,-0.1647093,-0.1037834,0.0807289,0.0745076,-0.1820951,0.0621272,0.1729293,-0.0559753,0.024886,0.0689349,0.1008623,14.91621
0.4,-0.402532,-0.1325801,-0.0173011,0.0021057,-0.0195598,0.0221849,-0.0776746,-0.1744763,-0.0993301,0.1246127,0.0981568,-0.2029375,0.0622734,0.1754777,-0.06343,0.0249441,0.0842639,0.1082653,14.97121
0.45,-0.4091695,-0.1559749,-0.0262165,0.0025715,-0.0233626,0.0242032,-0.0695694,-0.1701876,-0.097082,0.131542,0.1373242,-0.2145409,0.0701968,0.1781341,-0.0498009,0.0281585,0.0847512,0.1323079,15.08523
0.5,-0.3952882,-0.191013,-0.0283661,0.0216213,-0.0142058,0.0256189,-0.0608286,-0.1645847,-0.0830544,0.1538012,0.1648021,-0.2110704,0.0712053,0.1681974,-0.0553945,0.0126982,0.0962476,0.1567205,15.20235
0.55,-0.3840574,-0.2155026,-0.0619106,0.0141957,-0.0115294,0.0165413,-0.063221,-0.1799597,-0.087462,0.1816703,0.2181607,-0.1972353,0.0851725,0.1543344,-0.0592043,0.0071665,0.1050397,0.1696949,15.619
0.6,-0.3866089,-0.2409616,-0.0619181,0.0067909,-0.0037428,0.0061646,-0.0438961,-0.1796541,-0.0820859,0.1962406,0.2683123,-0.2153146,0.0718928,0.1308149,-0.050062,-0.0024056,0.0875212,0.1859354,16.13075
0.65,-0.3529902,-0.2363086,-0.0719406,0.0117607,0.018746,0.0342422,-0.0166509,-0.1689379,-0.0725555,0.2056312,0.2984015,-0.2125574,0.0813424,0.1137483,-0.0468451,-0.0245144,0.0731678,0.208846,16.65765
0.7,-0.3359199,-0.2371856,-0.0843615,0.0094428,0.0076744,0.0232644,-0.013861,-0.1597862,-0.0600915,0.1994752,0.3558401,-0.213293,0.0696428,0.0816411,-0.0551929,-0.0526953,0.0596727,0.2187291,17.27218
0.75,-0.2805986,-0.1994516,-0.078113,0.0318263,0.0092894,0.0110326,-0.0202293,-0.1475631,-0.0512326,0.1666016,0.3458777,-0.2268399,0.0796423,0.0486865,-0.0507635,-0.0984854,0.031448,0.2449628,17.99713
0.8,-0.28011,-0.2103375,-0.0847942,0.0386483,0.0064789,0.0150099,-0.0283106,-0.1356792,-0.0594451,0.1556893,0.3843775,-0.2684684,0.0857005,0.036893,-0.0556054,-0.1225955,0.0141413,0.2666782,20.36459
0.85,-0.2841528,-0.2334126,-0.1108613,0.026855,0.0238918,0.0140773,-0.0286261,-0.1406035,-0.0689659,0.1510387,0.4250372,-0.2899528,0.0883656,0.0125305,-0.056817,-0.1383244,0.0026576,0.3035556,24.36278
0.9,-0.2035173,-0.2219538,-0.131153,0.052266,0.0404959,0.0671549,0.020951,-0.1210607,-0.0442757,0.20199,0.4570765,-0.3080675,0.1119219,-0.0118859,-0.0735444,-0.1737254,-0.0192561,0.3441958,31.31965
0.95,-0.2007842,-0.2708681,-0.2538756,0.0600974,0.0619327,0.0742608,0.0269308,-0.1095634,-0.0054064,0.3608187,0.5500297,-0.3568198,0.1020438,-0.0968974,-0.0423618,-0.1925042,-0.0802576,0.4144941,56.89028
