,,,,,,,,,,,,,,,,,,
.0077007,.0029152,.0021016,.001856,.0020381,.0020642,.0019804,.0014203,.0012039,.0048913,.0032412,.0031643,.0046728,.0015058,.0013707,.0011178,.0010249,.0010918,.0119916
.0016259,.0007813,.0006618,.0006166,.0007143,.0007182,.0006839,.0003832,.0003118,.0009859,.0007372,.0007189,.0011636,.0003032,.0003865,.0002527,.0001931,.0002586,.0028419
.0010551,.0006264,.0004956,.0005054,.0005673,.0005491,.000567,.0002665,.0002418,.0006742,.0005012,.0004935,.0007852,.0001974,.0002783,.0001725,.0001301,.0001762,.0019421
.0008323,.000573,.0004651,.0005073,.0005354,.0005229,.000532,.0002209,.0002209,.0005669,.0004191,.0004251,.0007407,.0001614,.0002381,.0001488,.0001113,.0001598,.0016068
.0007394,.0005555,.0004679,.0004896,.0005205,.0004956,.0005087,.0002045,.0002095,.0005182,.0004009,.0004209,.0007287,.0001507,.0002236,.0001428,.0001043,.0001529,.0014958
.0007497,.0006192,.0005387,.0005522,.0005683,.0005819,.000572,.0002095,.0002216,.0005302,.0004108,.0004536,.0007474,.0001658,.0002457,.0001572,.0001147,.0001682,.0015691
.0007206,.0006366,.0005728,.0005887,.0005939,.0006187,.000592,.0002125,.0002239,.0005247,.0004142,.0004624,.0007519,.0001693,.0002532,.0001634,.0001187,.0001733,.0016044
.0007161,.0006719,.0006155,.000629,.0006247,.0006466,.0006267,.000217,.0002266,.0005055,.0004077,.0004776,.0008451,.0001678,.000255,.0001688,.0001224,.0001746,.0016388
.0006947,.0007066,.0006485,.0006736,.0006589,.0006764,.0006407,.0002226,.0002308,.0004866,.0004005,.0004888,.0009282,.0001712,.0002644,.0001812,.0001286,.0001778,.0017193
.0007054,.0007431,.0006972,.0007248,.0006983,.0007239,.0006681,.0002283,.0002346,.0004689,.0003952,.0005105,.0010329,.0001768,.0002737,.000192,.0001383,.0001825,.0017736
.0007248,.0007772,.0007457,.0007911,.0007381,.0007672,.0007009,.0002345,.0002428,.0004628,.000399,.0005462,.0011022,.0001861,.0002858,.000205,.0001495,.0001905,.0018822
.000757,.000832,.0008261,.0008917,.0008346,.0008587,.0007781,.0002533,.0002514,.0004756,.0004117,.000595,.001266,.0001973,.0003103,.0002257,.0001636,.0002046,.0020573
.0007945,.0008893,.0009245,.0009799,.0009007,.0009593,.0008604,.0002787,.0002683,.0004836,.0004248,.0006495,.0014393,.0002128,.0003345,.0002464,.00018,.0002244,.0022439
.0007619,.0008706,.0009239,.0009919,.0009149,.0009849,.0008726,.0002696,.0002573,.0004515,.0004058,.0006372,.0015172,.0002075,.0003249,.0002413,.0001763,.0002245,.0022294
.0007912,.0009113,.0009848,.0010811,.0010099,.0010516,.0009251,.0002788,.0002632,.0004548,.0004172,.0006746,.0017216,.0002145,.0003244,.0002507,.0001824,.0002468,.0023422
.0009865,.0011431,.0012956,.0014167,.0013627,.0014226,.0012084,.0003579,.0003335,.0005552,.0005015,.0008727,.0024101,.0002761,.000404,.000326,.0002417,.000337,.0029837
.0012603,.0014705,.0018259,.0019824,.0019519,.0019977,.0016552,.0004626,.000416,.0006573,.0006338,.0011606,.0035436,.0003759,.0005003,.0004355,.000325,.0004761,.0037913
.0017779,.0019634,.0024785,.0028918,.0028536,.0030668,.0025,.0006542,.0005433,.0008466,.0008291,.0017063,.0056461,.0005601,.0006405,.0006508,.0004721,.0007337,.0054757
