,Gross domestic product: Chain volume measures - Percentage changes ;,GDP per capita: Chain volume measures - Percentage changes ;,Gross value added market sector: Chain volume measures - Percentage changes ;,Net domestic product: Chain volume measures - Percentage changes ;,Real gross domestic income: Chain volume measures - Percentage changes ;,Real gross national income: Chain volume measures - Percentage changes ;,Real net national disposable income: Chain volume measures - Percentage changes ;,Real net national disposable income per capita: Chain volume measures - Percentage changes ;,Gross domestic product: Current prices - Percentage Changes ;,Hours worked: Index - Percentage changes ;,Hours worked market sector: Index - Percentage changes ;,GDP per hour worked: Index - Percentage changes ;,Gross value added per hour worked market sector: Index - Percentage changes ;,Real unit of labour costs: Index - Percentage changes ;,Real unit of labour costs - Non-farm: Index - Percentage changes ;,Terms of trade: Index - Percentage changes ;,Gross domestic product: Chain volume measures ;,GDP per capita: Chain volume measures ;,Gross value added market sector: Chain volume measures ;,Net domestic product: Chain volume measures ;,Real gross domestic income: Chain volume measures ;,Real gross national income: Chain volume measures ;,Real net national disposable income: Chain volume measures ;,Real net national disposable income per capita: Chain volume measures ;,Gross domestic product: Current prices ;,GDP per capita: Current prices ;,Gross national income: Current prices ;,Net saving: Current prices ;,Household saving ratio: Ratio ;,Hours worked: Index ;,Hours worked market sector: Index ;,GDP per hour worked: Index ;,Gross value added per hour worked market sector: Index ;,Real unit of labour costs: Index ;,Real unit of labour costs - Non-farm: Index ;,Terms of trade: Index ;,Gross domestic product: Chain volume measures - Percentage changes ;,GDP per capita: Chain volume measures - Percentage changes ;,Gross value added market sector: Chain volume measures - Percentage changes ;,Net domestic product: Chain volume measures - Percentage changes ;,Real gross domestic income: Chain volume measures - Percentage changes ;,Real gross national income: Chain volume measures - Percentage changes ;,Real net national disposable income: Chain volume measures - Percentage changes ;,Real net national disposable income per capita: Chain volume measures - Percentage changes ;,Gross domestic product: Current prices - Percentage Changes ;,Hours worked: Index - Percentage changes ;,Hours worked market sector: Index - Percentage changes ;,GDP per hour worked: Index - Percentage changes ;,Gross value added per hour worked market sector: Index - Percentage changes ;,Gross domestic product: Index - Percentage changes ;,Domestic final demand: Index - Percentage changes ;,Terms of trade: Index - Percentage changes ;,Gross domestic product: Chain volume measures ;,GDP per capita: Chain volume measures ;,Gross value added market sector: Chain volume measures ;,Net domestic product: Chain volume measures ;,Real gross domestic income: Chain volume measures ;,Real gross national income: Chain volume measures ;,Real net national disposable income: Chain volume measures ;,Real net national disposable income per capita: Chain volume measures ;,Gross domestic product: Current prices ;,GDP per capita: Current prices ;,Gross national income: Current prices ;,Net saving: Current prices ;,Household saving ratio: Ratio ;,Hours worked: Index ;,Hours worked market sector: Index ;,GDP per hour worked: Index ;,Gross value added per hour worked market sector: Index ;,Gross domestic product: Index ;,Domestic final demand: Index ;,Terms of trade: Index ;,Gross domestic product: Chain volume measures - Percentage changes ;,GDP per capita: Chain volume measures - Percentage changes ;,Gross value added market sector: Chain volume measures - Percentage changes ;,Net domestic product: Chain volume measures - Percentage changes ;,Real gross domestic income: Chain volume measures - Percentage changes ;,Real gross national income: Chain volume measures - Percentage changes ;,Real net national disposable income: Chain volume measures - Percentage changes ;,Real net national disposable income per capita: Chain volume measures - Percentage changes ;,Gross domestic product: Current prices - Percentage Changes ;,Hours worked: Index - Percentage changes ;,Hours worked market sector: Index - Percentage changes ;,GDP per hour worked: Index - Percentage changes ;,Gross value added per hour worked market sector: Index - Percentage changes ;,Gross domestic product: Index - Percentage changes ;,Domestic final demand: Index - Percentage changes ;,Terms of trade: Index - Percentage changes ;,Gross domestic product: Chain volume measures ;,GDP per capita: Chain volume measures ;,Gross value added market sector: Chain volume measures ;,Net domestic product: Chain volume measures ;,Real gross domestic income: Chain volume measures ;,Real gross national income: Chain volume measures ;,Real net national disposable income: Chain volume measures ;,Real net national disposable income per capita: Chain volume measures ;,Gross domestic product: Current prices ;,GDP per capita: Current prices ;,Gross national income: Current prices ;,Net saving: Current prices ;,Household saving ratio: Ratio ;,Hours worked: Index ;,Hours worked market sector: Index ;,GDP per hour worked: Index ;,Gross value added per hour worked market sector: Index ;,Gross domestic product: Index ;,Domestic final demand: Index ;,Terms of trade: Index ;
Dec-1984,1.1,0.7,,,,,,,1.9,1.5,1.7,-0.4,,,,-0.4,148169,9449,,,,,,,57587,3673,57257,5724,16.3,62.4,65.0,67.6,,,,53.4,1.1,0.8,,,,,,,0.9,-0.3,-0.5,1.4,,,,-0.3,148010,9440,,,,,,,57041,3638,57063,5878,16.4,61.7,64.1,68.3,,,,53.5,13.2,12.9,,,,,,,13.0,0.1,0.5,13.1,,,,-0.7,162261,10350,,,,,,,62870,4010,62379,8925,22.2,62.1,68.0,74.5,,,,53.5
Mar-1985,1.7,1.4,,,,,,,3.1,0.5,0.8,1.2,,,,-2.1,150694,9578,,,,,,,59397,3775,58768,5726,15.5,62.7,65.5,68.4,,,,52.2,1.5,1.2,,,,,,,4.3,2.8,3.5,-1.2,,,,-0.5,150282,9551,,,,,,,59473,3780,58581,5559,16.2,63.5,66.3,67.5,,,,53.2,-12.7,-13.0,,,,,,,-10.8,1.0,1.2,-13.6,,,,-0.7,141710,9005,,,,,,,56111,3566,55524,4335,14.6,62.7,68.8,64.4,,,,53.1
Jun-1985,1.8,1.5,,,,,,,3.5,0.6,1.1,1.2,,,,-3.4,153421,9718,,,,,,,61482,3894,60571,5559,14.0,63.1,66.2,69.2,,,,50.4,2.3,2.0,,,,,,,3.7,-0.7,-0.8,3.1,,,,-6.3,153805,9742,,,,,,,61684,3907,60659,5549,13.9,63.0,65.8,69.6,,,,49.9,6.7,6.4,,,,,,,8.4,0.4,0.4,6.3,,,,-6.0,151272,9581,,,,,,,60831,3853,59043,3879,8.5,63.0,69.1,68.4,,,,49.9
Sep-1985,1.3,1.0,,,0.8,,,,2.8,0.7,1.0,0.6,,,,-3.6,155478,9814,,142020,134989,131908,116895,7378,63221,3990,62249,5317,13.0,63.6,66.8,69.7,,114.5,113.8,48.6,1.4,1.0,,,1.4,,,,2.8,0.6,1.8,0.7,,,,-1.3,155900,9841,,142063,135572,132171,117194,7398,63397,4002,62714,5793,12.2,63.4,67.0,70.1,,40.8,46.2,49.2,1.7,1.3,,,1.7,,,,3.1,0.6,-2.6,1.0,,,,-1.2,153779,9708,,139779,133761,130498,115555,7295,62741,3961,62051,5526,12.2,63.4,67.3,69.1,,40.8,46.2,49.3
Dec-1985,0.7,0.3,,0.1,0.3,0.0,-0.2,-0.6,1.9,1.1,1.4,-0.4,,1.3,0.6,-2.1,156493,9842,,142165,135424,131951,116620,7334,64448,4053,63614,5133,13.1,64.3,67.8,69.4,,116.1,114.5,47.6,0.1,-0.3,,-0.1,-0.5,-0.5,-0.9,-1.2,1.3,1.5,1.0,-1.4,,1.1,2.2,-4.4,156086,9816,,141925,134882,131548,116174,7306,64219,4038,63044,4216,13.0,64.4,67.7,69.1,,41.3,47.2,47.1,9.8,9.4,,11.4,9.1,9.2,10.5,10.1,11.0,2.4,2.3,7.2,,1.1,2.2,-4.2,168830,10618,,155666,145985,142527,127734,8033,69652,4380,68353,6753,17.8,64.9,68.8,74.1,,41.3,47.2,47.2
Mar-1986,0.2,-0.2,,0.0,0.0,0.0,-0.3,-0.7,1.6,1.3,1.8,-1.2,,1.4,0.2,-1.5,156730,9821,,142203,135417,131902,116274,7286,65495,4104,64744,4736,13.3,65.1,69.0,68.5,,117.7,114.7,46.9,0.6,0.3,,0.5,0.6,0.5,0.3,0.0,2.2,1.6,1.8,-0.9,,2.0,2.0,-0.4,157048,9841,,142618,135692,132166,116573,7305,65658,4114,65137,5583,14.3,65.4,68.8,68.5,,42.1,48.2,46.9,-11.8,-12.1,,-14.0,-11.9,-12.2,-14.6,-14.9,-10.6,1.3,1.2,-12.9,,2.0,2.0,-0.6,148959,9332,,133897,128628,125113,109081,6834,62255,3900,61879,4403,13.4,65.7,69.7,64.6,,42.1,48.2,46.9
Jun-1986,0.2,-0.2,,0.0,-0.1,-0.1,-0.3,-0.7,1.8,0.9,1.1,-0.6,,-0.1,0.4,-1.7,157044,9804,,142260,135287,131809,115922,7237,66682,4163,65993,4283,12.7,65.7,69.7,68.1,,117.5,115.2,46.1,-0.1,-0.4,,-0.3,-0.1,0.0,-0.3,-0.7,1.5,0.6,2.4,-0.7,,1.0,1.1,0.1,156963,9799,,142174,135569,132133,116192,7254,66625,4159,65951,4265,12.4,65.8,70.5,68.0,,42.6,48.7,46.9,3.7,3.3,,4.1,3.7,3.8,4.3,3.9,5.2,-3.6,-5.0,7.6,,1.0,1.1,0.1,154429,9641,,139439,133341,129880,113764,7102,65510,4090,64206,2432,7.5,63.3,66.2,69.5,,42.6,48.7,47.0
Sep-1986,0.5,0.1,,0.4,0.2,0.1,0.0,-0.4,2.2,0.3,0.1,0.2,,-0.4,0.6,-1.6,157860,9818,,142787,135544,131972,115877,7207,68161,4239,67426,4003,11.5,65.9,69.8,68.2,,117.1,115.9,45.4,0.3,-0.1,,0.1,-0.5,-0.6,-0.7,-1.1,2.1,0.2,-1.4,0.1,,1.1,2.6,-4.6,157435,9793,,142325,134932,131389,115325,7173,68019,4231,67144,3371,10.8,65.9,69.5,68.1,,43.1,50.0,44.8,0.6,0.2,,0.4,-0.1,0.0,0.1,-0.3,3.1,3.0,3.7,-2.4,,1.1,2.6,-4.6,155345,9664,,140064,133176,129854,113829,7081,67518,4200,66441,3077,10.8,65.2,68.6,67.8,,43.1,50.0,44.8
Dec-1986,0.9,0.6,,0.9,0.7,0.7,0.6,0.2,2.7,0.2,-0.4,0.8,,-1.1,-1.7,-1.2,159334,9873,,144020,136491,132858,116572,7223,69997,4337,69119,4180,10.7,66.0,69.5,68.8,,115.8,113.8,44.8,1.4,1.0,,1.5,1.4,1.3,1.3,0.9,3.1,0.4,-0.1,1.0,,2.7,2.4,-0.2,159706,9895,,144425,136768,133140,116864,7241,70138,4346,69487,4619,11.5,66.2,69.5,68.8,,44.2,51.2,44.7,10.1,9.7,,11.9,10.1,10.0,11.7,11.2,11.5,0.9,0.9,9.2,,2.7,2.4,-0.5,171109,10602,,156789,146590,142843,127116,7876,75299,4666,74354,6502,15.2,65.8,69.2,74.1,,44.2,51.2,44.6
Mar-1987,1.4,1.0,,1.4,1.5,1.5,1.5,1.2,3.3,0.4,0.0,0.9,,-1.1,-1.3,0.6,161493,9968,,145994,138482,134831,118376,7307,72277,4461,71420,5128,10.6,66.3,69.4,69.4,,114.5,112.3,45.1,1.0,0.6,,0.9,1.1,1.0,1.0,0.6,2.8,-0.1,-0.2,1.1,,1.7,1.6,0.7,161305,9957,,145792,138315,134488,118010,7285,72125,4452,70998,4860,9.8,66.1,69.3,69.5,,45.0,52.0,45.0,-10.1,-10.4,,-12.1,-10.0,-10.4,-12.6,-13.0,-8.6,0.5,0.5,-10.5,,1.7,1.6,0.3,153909,9498,,137771,131894,127965,111046,6853,68817,4247,68011,4107,10.0,66.2,69.5,66.3,,45.0,52.0,44.8
Jun-1987,1.6,1.3,,1.7,1.9,2.0,2.2,1.8,3.4,0.8,0.8,0.8,,-2.2,-1.6,1.7,164155,10093,,148518,141178,137538,120929,7435,74733,4595,74027,6220,10.4,66.8,70.0,70.0,,112.0,110.5,45.8,1.7,1.3,,1.8,2.0,2.4,2.6,2.2,3.7,1.4,1.2,0.3,,1.4,1.1,2.1,164024,10085,,148369,141078,137658,121044,7442,74773,4597,74043,6182,10.7,67.0,70.2,69.7,,45.6,52.6,45.9,5.3,4.9,,6.2,5.7,6.3,7.4,7.0,7.4,0.4,-0.4,4.9,,1.4,1.1,2.4,162108,9967,,146287,139433,136013,119252,7332,73879,4543,72684,4760,5.9,66.4,69.2,69.5,,45.6,52.6,45.8
Sep-1987,1.7,1.3,,1.8,2.0,2.0,2.2,1.8,3.5,1.2,1.4,0.5,,-0.2,0.8,2.0,166965,10224,,151203,144066,140329,123566,7567,77315,4734,76555,6909,9.8,67.6,70.9,70.3,,111.8,111.4,46.8,1.8,1.3,,1.9,2.2,2.0,2.2,1.7,3.6,0.9,0.9,0.9,,1.6,1.3,2.7,166913,10221,,151148,144225,140409,123664,7572,77479,4744,76965,7301,10.7,67.6,70.8,70.3,,46.3,53.3,47.2,2.0,1.6,,2.2,2.4,2.4,2.8,2.4,4.7,-0.3,-0.4,2.3,,1.6,1.3,2.3,165362,10127,,149461,142782,139260,122566,7506,77320,4735,76485,7241,11.2,66.2,68.9,71.2,,46.3,53.3,46.9
Dec-1987,1.4,1.0,,1.4,1.8,1.7,1.8,1.4,3.3,1.2,1.5,0.2,,-0.3,-0.9,2.6,169268,10323,,153330,146652,142751,125800,7672,79843,4869,78732,7170,9.3,68.4,72.0,70.5,,111.4,110.4,48.0,1.7,1.3,,1.8,1.8,1.8,1.9,1.5,2.7,1.2,1.6,0.5,,1.0,1.4,0.1,169793,10356,,153906,146818,142941,126003,7685,79601,4855,78633,7241,8.1,68.4,72.0,70.7,,46.8,54.0,47.2,9.4,9.0,,11.1,9.6,9.5,11.1,10.6,10.2,2.1,3.0,7.2,,1.0,1.4,0.9,180942,11037,,166034,156495,152508,136140,8304,85178,5195,84390,9730,12.6,67.6,71.0,76.3,,46.8,54.0,47.3
Mar-1988,0.8,0.4,,0.7,1.5,1.3,1.3,0.9,3.1,0.7,1.0,0.1,,-0.7,-1.4,3.7,170680,10366,,154471,148783,144646,127469,7742,82333,5000,80719,7295,8.8,68.9,72.7,70.5,,110.6,108.9,49.8,0.5,0.1,,0.4,1.4,1.2,1.1,0.7,3.9,1.4,1.8,-0.8,,2.6,1.9,5.0,170687,10365,,154481,148879,144639,127440,7739,82687,5021,80622,6830,9.0,69.4,73.3,70.1,,48.0,55.0,49.6,-9.9,-10.3,,-12.0,-9.0,-9.5,-11.6,-12.1,-7.6,2.2,3.2,-11.9,,2.6,1.9,5.1,163041,9898,,146163,142372,137962,120297,7303,78668,4776,76776,5456,8.5,69.1,73.2,67.2,,48.0,55.0,49.7
Jun-1988,0.6,0.2,,0.5,1.3,1.3,1.2,0.8,3.2,0.6,0.6,0.0,,-1.7,-0.4,4.2,171734,10385,,155207,150780,146465,129052,7804,84968,5138,82986,7716,8.4,69.3,73.1,70.6,,108.7,108.5,51.9,0.4,0.0,,0.2,1.0,1.1,1.1,0.7,2.3,-0.3,-0.6,0.7,,2.3,1.6,4.3,171369,10365,,154806,150366,146249,128855,7794,84549,5114,82841,7848,9.5,69.2,72.8,70.6,,49.1,55.9,51.7,3.9,3.5,,4.5,4.4,4.7,5.5,5.2,6.0,1.3,0.5,2.6,,2.3,1.6,3.9,169417,10248,,152683,148640,144508,126960,7680,83390,5044,81364,6375,4.7,70.0,73.6,69.0,,49.1,55.9,51.7
Sep-1988,0.7,0.3,,0.6,1.4,1.4,1.4,0.9,3.2,1.0,1.1,-0.3,,-0.3,0.3,4.1,173014,10414,,156183,152956,148449,130824,7875,87660,5276,85609,8506,8.1,70.0,73.9,70.4,,108.3,108.8,54.0,1.0,0.5,,0.9,2.0,1.5,1.5,1.0,4.0,0.9,1.1,0.1,,2.6,1.6,5.6,173094,10418,,156266,153308,148487,130833,7875,87900,5291,85810,8616,7.0,69.8,73.7,70.7,,50.4,56.8,54.6,1.4,0.9,,1.4,2.3,2.0,2.2,1.7,4.9,0.1,0.3,1.2,,2.6,1.6,5.7,171726,10337,,154779,152043,147381,129774,7812,87454,5264,84678,7908,7.3,70.1,73.8,69.8,,50.4,56.8,54.6
Dec-1988,1.1,0.7,,1.1,1.7,1.5,1.5,1.1,3.2,1.5,1.6,-0.3,,0.5,-0.1,3.0,174981,10485,,157901,155532,150649,132832,7960,90447,5420,88432,9204,8.1,71.1,75.1,70.2,,108.8,108.6,55.7,1.1,0.7,,1.1,1.3,1.5,1.5,1.1,3.0,2.0,2.1,-0.9,,1.3,1.4,0.5,175044,10488,,157971,155227,150677,132856,7960,90508,5423,88224,8960,8.1,71.2,75.2,70.0,,51.0,57.6,54.9,9.0,8.6,,10.6,9.2,9.4,11.0,10.5,10.6,2.3,2.7,6.6,,1.3,1.4,0.7,187262,11222,,171225,165974,161186,144004,8630,96694,5795,94947,12807,13.1,71.6,75.8,74.5,,51.0,57.6,55.0
Mar-1989,1.4,1.0,,1.4,1.7,1.5,1.5,1.1,3.2,1.4,1.6,0.0,,0.9,0.4,1.9,177450,10590,,160145,158231,152845,134801,8045,93335,5570,91143,9494,8.3,72.1,76.3,70.1,,109.8,109.1,56.7,1.1,0.7,,1.0,1.8,1.3,1.4,0.9,2.7,1.8,2.5,-0.7,,2.3,1.3,4.6,176927,10557,,159582,158040,152675,134650,8035,92944,5546,91176,9907,8.7,72.5,77.0,69.5,,52.2,58.4,57.4,-10.0,-10.5,,-12.2,-9.3,-9.9,-12.1,-12.5,-8.0,-3.1,-3.4,-7.2,,2.3,1.3,4.7,168456,10049,,150392,150607,145197,126641,7554,88967,5307,86929,7663,7.8,69.4,73.3,69.1,,52.2,58.4,57.6
Jun-1989,1.3,0.9,,1.3,1.4,1.1,1.1,0.7,2.9,1.0,1.1,0.3,,-1.3,-0.9,0.5,179767,10690,,162203,160391,154595,136245,8102,96026,5710,93496,9473,8.5,72.8,77.2,70.4,,108.4,108.1,57.0,1.9,1.6,,2.0,1.9,1.4,1.3,1.0,3.7,-0.2,-0.7,2.1,,2.0,2.0,-0.6,180304,10722,,162794,160971,154776,136458,8115,96404,5733,93816,9254,8.9,72.4,76.5,71.0,,53.2,59.5,57.1,5.6,5.3,,6.5,5.5,5.3,6.1,5.8,6.8,5.2,5.1,0.4,,2.0,2.0,-0.5,177924,10582,,160217,158923,152849,134377,7992,94984,5649,92290,7765,4.4,73.0,77.1,69.5,,53.2,59.5,57.3
Sep-1989,0.9,0.6,,0.9,0.8,0.6,0.4,0.1,2.5,0.7,0.6,0.3,,0.1,1.3,-0.4,181470,10753,,163587,161736,155592,136834,8108,98409,5831,95444,9197,8.5,73.3,77.7,70.6,,108.5,109.6,56.8,0.8,0.4,,0.6,0.5,0.7,0.5,0.2,2.1,1.5,2.0,-0.7,,1.1,1.3,-1.7,181714,10769,,163841,161746,155899,137133,8127,98440,5834,95188,9139,7.3,73.5,78.1,70.4,,53.8,60.3,56.1,1.3,0.9,,1.2,1.0,1.3,1.3,0.9,2.9,-0.1,0.3,1.4,,1.1,1.3,-1.5,180193,10680,,162195,160501,154801,136090,8066,97774,5795,93949,8240,7.0,72.9,77.3,70.4,,53.8,60.3,56.4
Dec-1989,0.6,0.2,,0.5,0.5,0.3,0.1,-0.3,2.2,0.5,0.2,0.1,,0.6,-0.5,-0.9,182569,10779,,164330,162506,156075,136932,8084,100533,5935,97202,8839,8.8,73.6,77.9,70.6,,109.2,109.1,56.3,0.2,-0.2,,-0.1,0.2,-0.1,-0.4,-0.8,1.9,0.5,0.1,-0.3,,1.7,1.6,0.3,182005,10744,,163718,162029,155758,136613,8064,100262,5919,97156,8940,9.5,73.8,78.1,70.2,,54.7,61.3,56.3,7.9,7.5,,9.2,7.8,7.6,8.7,8.3,9.3,0.6,0.4,7.3,,1.7,1.6,-0.5,194394,11478,,177068,172973,166495,147991,8738,106823,6307,104229,12902,13.3,73.3,77.6,75.5,,54.7,61.3,56.2
Mar-1990,0.2,-0.1,,0.0,0.3,0.2,0.1,-0.3,1.7,0.4,0.0,-0.1,,1.1,0.1,0.3,183006,10764,,164384,162931,156427,137014,8059,102231,6013,98700,8322,8.9,73.9,77.9,70.5,,110.4,109.2,56.5,0.7,0.3,,0.6,0.6,0.2,0.0,-0.4,1.9,-0.1,-0.7,0.8,,1.4,1.5,-0.3,183255,10780,,164651,163039,156128,136590,8035,102194,6012,98682,8255,9.2,73.7,77.6,70.8,,55.5,62.2,56.1,-9.8,-10.2,,-11.9,-9.9,-10.5,-12.9,-13.3,-8.4,-0.3,-0.7,-9.6,,1.4,1.5,0.0,175248,10305,,156025,155923,148946,128881,7579,97871,5755,94555,6309,8.5,73.1,77.0,68.3,,55.5,62.2,56.2
Jun-1990,0.2,-0.2,,0.0,0.1,0.2,0.0,-0.4,1.3,-0.1,-0.4,0.2,,0.2,0.9,-0.6,183311,10743,,164312,163128,156664,137007,8029,103528,6067,99955,7715,8.5,73.9,77.6,70.7,,110.7,110.2,56.1,0.2,-0.2,,0.0,0.3,0.6,0.7,0.3,1.9,0.3,0.1,-0.1,,1.5,1.2,0.5,183688,10763,,164725,163556,157038,137502,8057,104086,6099,100255,7792,8.4,74.0,77.7,70.8,,56.3,62.9,56.4,3.2,2.8,,3.6,3.2,3.8,4.7,4.3,4.4,0.5,-0.3,2.6,,1.5,1.2,0.4,180826,10596,,161647,160972,154582,134875,7904,102212,5990,98450,6586,4.4,73.5,76.8,70.1,,56.3,62.9,56.4
Sep-1990,0.0,-0.4,,-0.3,-0.3,-0.3,-0.6,-0.9,0.6,-0.6,-0.8,0.6,,1.1,0.8,-1.7,183231,10702,,163833,162605,156203,136193,7955,104120,6081,100434,6748,7.9,73.4,76.9,71.1,,111.9,111.0,55.2,-0.8,-1.1,,-1.2,-0.9,-0.5,-0.8,-1.2,-0.6,-0.1,-0.3,-0.7,,0.4,0.4,-1.1,182255,10645,,162786,162007,156299,136355,7964,103481,6044,99897,6429,7.3,73.9,77.4,70.3,,56.5,63.2,55.8,0.3,-0.1,,0.1,0.1,0.6,0.6,0.3,1.0,-1.5,-1.8,1.7,,0.4,0.4,-1.0,181295,10589,,161751,161138,155568,135693,7925,103217,6029,99519,5924,7.1,72.5,75.4,71.3,,56.5,63.2,55.8
Dec-1990,-0.3,-0.7,,-0.6,-0.8,-0.9,-1.4,-1.7,-0.1,-1.2,-1.4,0.8,,0.3,-0.6,-1.8,182593,10631,,162773,161307,154818,134344,7822,104057,6058,100157,5425,7.6,72.6,75.9,71.7,,112.2,110.4,54.2,0.9,0.6,,0.8,0.1,-0.8,-1.4,-1.7,1.2,-2.0,-2.2,3.0,,0.9,1.8,-4.8,183820,10703,,164086,162158,155030,134476,7830,104679,6095,101204,6276,8.5,72.4,75.7,72.4,,57.0,64.3,53.2,7.3,7.0,,8.6,6.6,5.8,6.5,6.2,6.9,-1.1,-0.5,8.5,,0.9,1.8,-4.5,194618,11335,,175675,171796,164540,144519,8417,110358,6427,106869,8569,11.7,71.7,75.0,77.4,,57.0,64.3,53.4
Mar-1991,-0.5,-0.8,,-0.8,-0.9,-1.0,-1.5,-1.8,-0.3,-1.2,-1.5,0.7,,-0.1,-0.3,-2.6,181746,10548,,161529,159918,153298,132379,7683,103792,6024,99433,3710,7.4,71.7,74.7,72.2,,112.1,110.0,52.8,-1.4,-1.7,,-1.9,-1.7,-1.3,-1.8,-2.1,-1.1,-0.9,-1.3,-0.5,,0.2,0.5,-1.4,181201,10516,,160938,159403,153018,132083,7665,103516,6008,98617,2884,6.9,71.7,74.7,72.0,,57.1,64.6,52.4,-10.6,-11.0,,-12.8,-11.0,-10.9,-13.4,-13.7,-9.6,0.2,-0.1,-10.8,,0.2,0.5,-2.0,173953,10092,,153159,152932,146564,125169,7261,99810,5790,95180,1785,6.4,71.8,74.9,69.0,,57.1,64.6,52.3
Jun-1991,-0.4,-0.7,,-0.7,-0.6,-0.4,-0.7,-1.0,-0.1,-0.5,-0.8,0.1,,-0.4,-0.4,-1.6,181039,10473,,160476,158986,152654,131420,7603,103738,6001,99088,2154,7.0,71.4,74.1,72.3,,111.7,109.6,52.0,-0.2,-0.5,,-0.4,-0.4,-0.4,-0.7,-1.0,0.1,-0.5,-0.8,0.3,,0.4,0.1,-0.9,180822,10461,,160236,158741,152382,131152,7587,103579,5992,99324,2823,7.2,71.4,74.1,72.2,,57.4,64.7,51.9,2.5,2.2,,2.8,2.3,2.4,2.8,2.5,2.4,-0.4,-1.3,2.9,,0.4,0.1,-0.7,178232,10312,,157461,156444,150057,128685,7445,102168,5911,97662,2040,4.0,71.5,74.0,71.0,,57.4,64.7,51.9
Sep-1991,0.0,-0.3,,-0.2,0.0,0.4,0.2,-0.1,0.5,0.1,-0.1,-0.1,,0.9,0.3,-0.2,181022,10439,,160185,158914,153197,131718,7596,104222,6010,99733,1455,6.5,71.4,74.0,72.2,,112.7,109.9,51.8,0.2,-0.1,,0.1,0.3,0.5,0.4,0.1,0.7,0.1,0.0,0.1,,0.5,0.5,0.4,181228,10450,,160419,159223,153189,131734,7596,104262,6012,99254,646,6.7,71.4,74.1,72.3,,57.7,65.1,52.2,1.3,1.0,,1.5,1.4,1.8,2.1,1.8,1.7,-1.6,-1.9,3.0,,0.5,0.5,0.4,180630,10415,,159776,158686,152772,131391,7576,103938,5993,98503,-629,6.6,70.4,72.5,73.2,,57.7,65.1,52.1
Dec-1991,0.5,0.2,,0.5,0.5,0.8,0.8,0.5,1.0,0.1,0.0,0.4,,0.2,0.8,-0.2,181974,10462,,160929,159728,154470,132763,7633,105249,6051,101203,1712,6.1,71.5,74.0,72.5,,113.0,110.8,51.7,0.3,0.0,,0.1,0.1,0.9,0.8,0.6,0.8,0.4,0.5,-0.2,,0.6,0.8,-1.0,181709,10448,,160647,159374,154574,132846,7638,105090,6042,101475,1881,5.6,71.8,74.4,72.1,,58.0,65.6,51.6,5.6,5.3,,6.5,5.3,6.2,7.3,7.0,6.7,1.3,1.9,4.2,,0.6,0.8,-1.3,190667,10966,,170206,167150,162290,140947,8106,110871,6377,107167,4176,8.4,71.2,73.9,76.2,,58.0,65.6,51.4
Mar-1992,0.7,0.4,,0.6,0.6,0.7,0.6,0.3,0.9,-0.2,-0.2,0.8,,-0.3,-0.8,-0.3,183167,10499,,161924,160686,155544,133617,7659,106193,6087,102476,2035,6.0,71.4,73.9,73.1,,112.6,109.9,51.6,1.0,0.7,,1.0,1.1,0.8,0.8,0.5,1.5,-0.4,-0.7,1.4,,0.2,0.4,0.3,183510,10518,,162287,161063,155885,133973,7679,106675,6114,102902,2547,6.5,71.5,73.9,73.2,,58.1,65.8,51.8,-7.3,-7.6,,-8.8,-7.1,-7.5,-9.3,-9.7,-7.3,0.2,-0.1,-7.5,,0.2,0.4,0.8,176822,10131,,155151,155231,150056,127772,7321,102800,5890,99382,1556,6.6,71.4,73.8,70.6,,58.1,65.8,51.8
Jun-1992,0.9,0.6,,0.9,0.7,0.7,0.7,0.4,0.9,-0.4,-0.4,1.3,,-0.6,0.5,-0.8,184823,10564,,163413,161868,156629,134502,7688,107113,6122,103939,2615,6.2,71.1,73.6,74.1,,111.9,110.4,51.2,0.7,0.4,,0.7,0.5,0.5,0.4,0.1,0.2,-0.6,-0.3,1.3,,-0.2,-0.2,-0.9,184769,10560,,163349,161913,156627,134505,7687,106922,6111,103607,2444,5.5,71.0,73.6,74.1,,58.0,65.7,51.3,3.5,3.3,,4.1,3.4,3.4,4.1,3.8,2.9,-0.5,-0.6,4.1,,-0.2,-0.2,-0.8,183097,10466,,161570,160506,155157,132947,7599,105753,6045,102518,2255,2.5,71.0,73.4,73.4,,58.0,65.7,51.4
Sep-1992,1.2,0.9,,1.3,1.0,1.1,1.1,0.9,1.2,-0.2,-0.2,1.4,,0.1,1.1,-0.8,187056,10663,,165520,163505,158326,136025,7754,108413,6180,105547,3163,6.5,71.0,73.4,75.1,,112.0,111.6,50.8,0.9,0.7,,1.0,0.6,0.5,0.4,0.2,1.1,0.0,-0.2,0.9,,0.1,0.4,-1.8,186478,10630,,164909,162910,157396,135059,7699,108068,6160,104978,2416,7.1,71.1,73.5,74.8,,58.0,66.0,50.4,1.4,1.2,,1.6,1.1,1.2,1.4,1.1,1.7,-0.1,-0.3,1.5,,0.1,0.4,-1.9,185747,10588,,164132,162307,157001,134759,7681,107581,6132,104150,1048,7.7,71.0,73.2,74.5,,58.0,66.0,50.4
