COMBINEDI,population
1,180.323111
2,330.2082725
3,339.701609
4,300.831798
5,28.3546021
6,657.039264
7,216.181335
8,73.50989788
9,395.799
10,1208.5965
11,664.772648
12,568.264082
13,286.333321
14,250.197183
15,363.1152813
16,267.571564
17,101.225152
18,298.8759485
19,257.87404
20,788.8440458
21,1808.9403
22,882.970686
23,460.804528
24,277.554192
25,40.4481337
26,142.812725
27,386.034069
28,126.816702
